task,queue,env_name,exp_name,sensor_bundle,seed,rollout_idx,step,time_s,force_target,finger_force_sum,effective_force,f_thumb,f_index,success_per_step,reward,env_code_commit
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,33,1.65,3.602274,3.834961,3.834961,1.474418,2.360543,0,0.282928,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,34,1.7,3.602274,3.551473,3.551473,1.466231,2.085242,0,0.28522,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,35,1.75,3.602274,3.885896,3.885896,1.458541,2.427355,0,0.281805,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,36,1.8,3.602274,3.910038,3.910038,1.450281,2.459757,0,0.281196,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,37,1.85,3.602274,4.112124,4.112124,1.620215,2.491909,0,0.274105,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,38,1.9,3.602274,3.956469,3.956469,1.434353,2.522116,1,0.779882,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,39,1.95,3.602274,3.60174,3.60174,1.426145,2.175595,1,0.785395,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,40,2.0,3.602274,3.975009,3.975009,1.418047,2.556962,1,0.779314,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,41,2.05,3.602274,3.969963,3.969963,1.408322,2.561641,1,0.779482,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,42,2.1,3.602274,3.96762,3.96762,1.399377,2.568243,1,0.779561,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,43,2.15,3.602274,4.770574,4.770574,2.195766,2.574807,0,0.231641,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,44,2.2,3.602274,3.83938,3.83938,1.673811,2.165569,0,0.282937,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,45,2.25,3.602274,3.960702,3.960702,1.372583,2.58812,0,0.279785,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,46,2.3,3.602274,3.959799,3.959799,1.364097,2.595702,0,0.279813,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,47,2.35,3.602274,4.239879,4.239879,1.63711,2.602769,0,0.268019,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,48,2.4,3.602274,3.958103,3.958103,1.347741,2.610361,0,0.279861,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,49,2.45,3.602274,4.774827,4.774827,2.156609,2.618218,0,0.23129,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,50,2.5,3.602274,3.959459,3.959459,1.332803,2.626656,0,0.279811,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,51,2.55,3.602274,3.960811,3.960811,1.326045,2.634766,0,0.279763,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,52,2.6,3.602274,4.922573,4.922573,1.809817,3.112756,0,0.218881,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,53,2.65,3.602274,3.965309,3.965309,1.314211,2.651098,0,0.279608,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,54,2.7,3.602274,3.965971,3.965971,1.308847,2.657123,0,0.279578,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,55,2.75,3.602274,3.965292,3.965292,1.30436,2.660933,0,0.27959,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,56,2.8,3.602274,3.963691,3.963691,1.300898,2.662792,0,0.27963,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,57,2.85,3.602274,3.962442,3.962442,1.298227,2.664216,0,0.279658,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,58,2.9,3.602274,3.961438,3.961438,1.295967,2.665471,0,0.279678,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,59,2.95,3.602274,3.960178,3.960178,1.293427,2.666752,0,0.279705,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,60,3.0,3.602274,3.958262,3.958262,1.290713,2.667549,0,0.279751,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,61,3.05,3.602274,3.955137,3.955137,1.735179,2.219958,0,0.279834,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,62,3.1,3.602274,4.281602,4.281602,1.612998,2.668604,1,0.765627,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,63,3.15,3.602274,5.00477,5.00477,2.33622,2.66855,0,0.211611,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,64,3.2,3.602274,4.035824,4.035824,1.368573,2.667251,0,0.277053,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,65,3.25,3.602274,4.103805,4.103805,1.438275,2.66553,0,0.274325,3682863
