task,queue,env_name,exp_name,sensor_bundle,seed,rollout_idx,step,time_s,force_target,finger_force_sum,effective_force,f_thumb,f_index,success_per_step,reward,env_code_commit
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,57,2.85,4.973738,4.955036,4.955036,2.238936,2.7161,0,0.285176,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,58,2.9,4.99931,5.39111,5.39111,2.68405,2.70706,0,0.281678,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,59,2.95,4.987966,6.48559,6.48559,3.783068,2.702522,0,0.239041,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,60,3.0,4.939981,6.154284,6.154284,3.44295,2.711334,0,0.253143,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,61,3.05,4.856541,5.165453,5.165453,2.832187,2.333266,0,0.283161,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,62,3.1,4.739697,5.260633,5.260633,2.552828,2.707805,0,0.278602,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,63,3.15,4.592328,5.276202,5.276202,2.56852,2.707682,0,0.273008,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,64,3.2,4.418062,4.652787,4.652787,3.185685,1.467103,0,0.283868,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,65,3.25,4.22119,7.402888,7.402888,4.662253,2.740635,0,0.103429,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,66,3.3,4.006561,6.689014,6.689014,3.875585,2.813429,0,0.124766,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,67,3.35,3.779458,6.468837,6.468837,3.704359,2.764477,0,0.11364,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,68,3.4,3.545474,6.515153,6.515153,3.748719,2.766434,0,0.085488,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,69,3.45,3.31037,8.602285,8.602285,5.844707,2.757579,0,0.037204,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,70,3.5,3.079935,9.504651,9.504651,5.611084,3.893567,0,0.035987,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,71,3.55,2.859844,7.207248,7.207248,4.409816,2.797432,0,0.037145,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,72,3.6,2.655516,7.072119,7.072119,4.261004,2.811115,0,0.036427,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,73,3.65,2.471984,9.203768,9.203768,6.361549,2.842218,0,0.036507,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,74,3.7,2.313761,7.64673,7.64673,4.69459,2.952141,0,0.036231,3682863
