task,queue,env_name,exp_name,sensor_bundle,suffix,seed,eval_mode,rollout_idx,successful_steps,episode_length,success_fraction,result,env_code_commit
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,60,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,61,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,62,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,63,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,64,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,65,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,66,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,67,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,68,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,69,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,70,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,71,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,72,0,80,0.0,failed,3682863
