task,queue,env_name,exp_name,sensor_bundle,seed,rollout_seed,step,time_s,f_thumb,f_index,f_total,env_code_commit
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,55,2.75,3.60221,1.75378,5.35599,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,56,2.8,3.90753,1.33136,5.23889,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,57,2.85,3.73668,1.16924,4.90591,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,58,2.9,3.62056,1.08558,4.70613,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,59,2.95,3.58698,1.07471,4.66169,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,60,3.0,3.61244,1.12435,4.73678,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,61,3.05,3.59038,1.33541,4.92579,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,62,3.1,3.07121,1.58247,4.65368,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,63,3.15,3.21386,1.83166,5.04552,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,64,3.2,3.20612,2.00433,5.21044,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,65,3.25,3.19864,2.13687,5.33551,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,66,3.3,3.19307,2.00981,5.20288,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,67,3.35,3.14603,1.78667,4.93269,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,68,3.4,3.06138,1.85196,4.91334,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,69,3.45,3.05975,1.80364,4.86339,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,70,3.5,2.95999,1.7981,4.75809,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,71,3.55,2.92072,1.80993,4.73064,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,72,3.6,2.86169,1.81889,4.68058,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,73,3.65,2.5092,1.8281,4.3373,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,74,3.7,2.465,1.83139,4.29638,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,75,3.75,2.42609,1.83514,4.26124,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,76,3.8,2.21939,1.83929,4.05868,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,77,3.85,2.08198,1.75805,3.84003,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,78,3.9,1.96799,0.99906,2.96706,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,79,3.95,1.94797,1.08647,3.03444,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,0,0.0,0.0,0.0,0.0,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,1,1,0.05,0.0,0.0,0.0,3682863
